	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	5	4	1	4	random	2	3	2	3	1	102
1	2	2	1	2	random	4	4	3	1	3	102
2	2	2	2	4	B	4	1	3	1	3	102
3	4	3	4	3	random	2	1	2	4	1	102
4	3	4	3	1	random	3	2	1	4	2	102
5	5	3	3	2	A	2	4	1	4	1	102
6	4	3	2	3	random	1	4	1	4	2	102
7	6	1	3	2	random	4	2	4	3	1	102
8	3	4	2	4	random	1	3	1	2	3	102
9	5	2	3	1	random	2	1	4	3	4	102
10	1	2	3	1	random	4	1	4	3	2	102
11	4	4	1	4	random	2	3	2	1	3	102
12	3	4	1	2	random	4	3	2	1	3	102
13	7	1	2	1	C	3	3	4	4	2	102
14	6	2	4	3	random	2	1	3	4	1	102
15	5	2	1	3	D	1	4	3	2	4	102
